ID,Age,Gender
00016588,43,F
00044531,32,M
00042842,20,F
00091844,21,M
00039976,11,M
00040444,23,M
00024530,20,F
00043640,7,M
00000748,20,M
00083559,46,M
00085021,9,F
00069724,37,M
00007246,4,M
00054589,35,M
00089787,13,M
00036320,9,M
00088972,9,F
00057976,12,M
00074570,7,M
00089051,50,M
00089318,43,F
00042140,41,F
00057097,45,F
00065045,9,M
00050297,25,F
00055696,28,F
00067374,46,M
00079672,4,F
00063982,17,M
00067245,22,F
00048467,6,F
00064761,23,F
00007507,9,M
00008747,50,F
00082221,24,M
00033253,12,M
00075104,21,F
00029437,13,F
00081052,46,M
00014679,12,F
00072787,22,M
00068623,36,F
00064084,15,F
00089219,8,M
00041256,35,F
00028508,7,M
00072378,5,F
00056846,8,M
00054012,42,M
00031572,47,M
00019484,42,M
00049025,9,M
00007648,15,F
00035803,42,M
00054007,26,M
00025820,9,M
00064342,23,F
00030515,23,M
00039710,7,M
00082757,24,F
00036058,6,F
00023227,6,F
00075897,45,M
00004150,38,M
00006495,45,M
00050209,26,M
00078928,23,F
00065215,29,F
00029894,30,M
00085541,32,M
00031034,47,M
00016881,71,F
00034802,11,M
00019966,28,M
00047398,41,F
00000460,9,M
00063834,18,F
00091149,10,F
00050445,12,M
00068578,11,F
00059183,41,M
00077278,12,F
00052300,45,M
00077535,45,M
00009938,24,M
00051922,12,F
00037296,24,F
00066370,78,F
00036516,27,M
00031833,12,F
00059026,28,F
00024666,10,F
00029261,42,F
00094058,22,F
00025414,12,M
00076722,16,F
00072334,38,M
00045175,32,M
00091199,9,F
00018576,12,M
00000273,43,M
00050672,42,F
00031210,8,F
00037889,8,M
00007932,17,F
00081213,33,F
00030155,11,M
00064585,21,M
00019302,56,M
00058759,20,F
00075859,43,M
00069836,42,F
00046149,22,M
00045238,37,F
00037326,46,F
00070366,43,F
00066609,29,M
00039628,9,M
00044741,17,M
00059585,7,F
00059105,45,M
00046371,22,M
00072414,9,F
00056155,6,M
00060352,8,F
00088555,46,M
00050862,39,M
00080019,13,M
00027227,34,M
00022110,19,M
00040901,9,F
00084552,30,F
00072134,27,M
00005213,40,F
00022116,22,F
00083744,33,M
00043992,26,F
00036300,46,F
00045214,22,F
00092983,37,F
00069854,8,F
00052657,39,M
00005287,43,F
00066428,10,M
00067944,4,F
00007664,43,F
00054486,7,F
00042492,36,F
00042450,49,F
00060017,18,M
00038221,10,F
00039274,21,M
00065804,11,M
00090281,11,M
00071833,26,F
00038952,55,F
00081209,33,F
00064186,47,M
00020393,19,M
00026515,53,F
00052468,42,M
00053107,40,F
00053534,28,M
00094479,45,M
00033721,18,M
00074797,35,M
00040554,27,F
00036311,11,M
00054271,12,M
00066624,40,M
00019555,26,F
00068137,11,F
00024787,32,F
00064947,22,M
00015385,49,F
00073292,13,M
00006639,41,M
00075192,14,F
00014377,11,M
00081799,10,M
00070713,14,F
00027445,7,M
00081613,28,M
00029484,9,F
00042391,7,M
00054540,11,M
00028294,11,F
00072242,22,M
00033909,61,F
00014517,9,F
00060900,19,M
00053699,37,F
00060588,22,F
00068984,48,F
00020496,30,F
00068803,12,M
00039605,7,F
00086020,15,F
00078737,10,F
00080602,35,F
00002363,54,F
00027536,37,F
00078353,8,M
00074483,28,F
00032586,46,M
00088357,25,M
00046050,9,M
00055452,4,F
00062893,22,M
00069992,18,M
00072572,39,M
00040995,33,M
00014859,9,M
00093163,12,M
00075180,45,F
00087018,71,M
00089346,11,F
00052959,26,M
00079303,7,M
00025201,29,F
00005029,15,F
00036073,45,F
00074056,29,M
00074816,67,M
00070902,36,M
00029842,29,M
00069288,18,M
00063222,17,F
00031164,31,M
00072514,37,M
00020121,31,M
00030004,40,F
00003857,12,F
00078408,5,F
00068503,45,F
00058164,23,M
00060998,20,F
00059111,67,M
00048372,14,F
00021567,28,M
00092185,26,M
00015697,45,M
00008676,23,F
00015415,12,M
00063782,8,M
00017812,3,M
00002629,7,F
00078556,23,M
00007001,7,F
00063006,45,F
00046042,12,F
00020835,31,M
00055660,28,M
00083299,24,M
00002042,4,F
00019198,50,M
00066180,29,F
00058733,9,M
00001681,10,M
00079791,30,M
00086825,19,M
00052464,30,M
00022838,22,F
00025984,25,M
00029156,32,M
00009685,6,M
00026749,27,F
00080526,25,F
00007951,36,F
00063306,31,M
00001628,47,M
00088861,18,M
00008593,7,M
00065561,34,F
00092279,14,F
00087834,25,M
00022224,14,F
00020423,36,M
00043387,37,M
00034244,22,F
00028134,6,F
00068498,47,F
00091452,15,F
00045568,21,M
00033789,23,M
